"Team","Season","GP","TOI","OZS","NZS","DZS","OZS%","DZS%","NZS%","ZSR","FOW","FOL","FO%","GVA","TKA","GVA/60","TKA/60","HF","HA","H+/-","HF/60","HA/60"
"ANA","2013-2014",41,253.1,222,52,14,77.08,4.86,18.06,0.94,153,135,53.12,58,13,13.75,3.08,29,46,-17,6.87,10.9
"ARI","2013-2014",41,224.72,201,46,13,77.31,5,17.69,0.94,158,102,60.77,36,10,9.61,2.67,26,39,-13,6.94,10.41
"BOS","2013-2014",41,177.83,157,32,6,80.51,3.08,16.41,0.96,120,75,61.54,34,5,11.47,1.69,18,38,-20,6.07,12.82
"BUF","2013-2014",41,220.65,182,37,17,77.12,7.2,15.68,0.91,116,120,49.15,32,15,8.7,4.08,16,28,-12,4.35,7.61
"CAR","2013-2014",41,244.47,248,46,5,82.94,1.67,15.38,0.98,175,124,58.53,56,30,13.74,7.36,25,46,-21,6.14,11.29
"CBJ","2013-2014",41,227.32,193,60,14,72.28,5.24,22.47,0.93,163,104,61.05,29,10,7.65,2.64,26,47,-21,6.86,12.41
"CGY","2013-2014",41,194.8,158,48,6,74.53,2.83,22.64,0.96,99,113,46.7,41,15,12.63,4.62,13,18,-5,4,5.54
"CHI","2013-2014",41,237.92,206,48,10,78.03,3.79,18.18,0.95,164,100,62.12,8,17,2.02,4.29,23,59,-36,5.8,14.88
"COL","2013-2014",41,224.4,187,45,14,76.02,5.69,18.29,0.93,141,105,57.32,39,18,10.43,4.81,16,39,-23,4.28,10.43
"DAL","2013-2014",41,269.5,245,49,23,77.29,7.26,15.46,0.91,171,146,53.94,84,20,18.7,4.45,22,53,-31,4.9,11.8
"DET","2013-2014",41,239.15,215,61,9,75.44,3.16,21.4,0.96,168,117,58.95,36,18,9.03,4.52,18,33,-15,4.52,8.28
"EDM","2013-2014",41,243.01,200,52,8,76.92,3.08,20,0.96,147,113,56.54,59,22,14.57,5.43,10,30,-20,2.47,7.41
"FLA","2013-2014",41,218.29,173,40,16,75.55,6.99,17.47,0.92,136,93,59.39,21,19,5.77,5.22,19,56,-37,5.22,15.39
"L.A","2013-2014",41,264.91,219,59,18,73.99,6.08,19.93,0.92,176,120,59.46,85,5,19.25,1.13,42,45,-3,9.51,10.19
"MIN","2013-2014",41,223.72,168,51,17,71.19,7.2,21.61,0.91,140,96,59.32,40,12,10.73,3.22,11,36,-25,2.95,9.65
"MTL","2013-2014",41,235.62,218,49,20,75.96,6.97,17.07,0.92,162,125,56.45,8,13,2.04,3.31,17,38,-21,4.33,9.68
"N.J","2013-2014",41,210.81,147,42,13,72.77,6.44,20.79,0.92,98,104,48.51,44,8,12.52,2.28,17,31,-14,4.84,8.82
"NSH","2013-2014",41,192.3,149,22,7,83.71,3.93,12.36,0.96,100,78,56.18,44,8,13.73,2.5,12,21,-9,3.74,6.55
"NYI","2013-2014",41,235.8,187,49,9,76.33,3.67,20,0.95,123,122,50.2,43,13,10.94,3.31,18,38,-20,4.58,9.67
"NYR","2013-2014",41,221.62,185,51,18,72.83,7.09,20.08,0.91,131,123,51.57,61,10,16.51,2.71,19,36,-17,5.14,9.75
"OTT","2013-2014",41,222.89,187,45,12,76.64,4.92,18.44,0.94,129,115,52.87,41,12,11.04,3.23,13,46,-33,3.5,12.38
"PHI","2013-2014",41,264.5,221,59,19,73.91,6.35,19.73,0.92,163,136,54.52,32,13,7.26,2.95,30,50,-20,6.81,11.34
"PIT","2013-2014",41,218.02,213,42,21,77.17,7.61,15.22,0.91,162,114,58.7,42,5,11.56,1.38,21,33,-12,5.78,9.08
"S.J","2013-2014",41,268.42,242,54,14,78.06,4.52,17.42,0.95,188,122,60.65,77,22,17.21,4.92,19,38,-19,4.25,8.49
"STL","2013-2014",41,245.27,204,50,17,75.28,6.27,18.45,0.92,152,119,56.09,13,8,3.18,1.96,21,38,-17,5.14,9.3
"T.B","2013-2014",41,227.62,179,38,8,79.56,3.56,16.89,0.96,141,84,62.67,60,12,15.82,3.16,17,25,-8,4.48,6.59
"TOR","2013-2014",41,195.03,164,38,17,74.89,7.76,17.35,0.91,108,111,49.32,50,10,15.38,3.08,31,52,-21,9.54,16
"VAN","2013-2014",41,223.3,197,40,9,80.08,3.66,16.26,0.96,138,108,56.1,23,10,6.18,2.69,13,27,-14,3.49,7.25
"WPG","2013-2014",41,245.97,218,59,17,74.15,5.78,20.07,0.93,157,137,53.4,35,16,8.54,3.9,21,42,-21,5.12,10.25
"WSH","2013-2014",41,223.99,210,57,19,73.43,6.64,19.93,0.92,161,125,56.29,26,28,6.96,7.5,32,52,-20,8.57,13.93
